EUR/GBP / 1h / FVG_REVERSION: done (24.3s, 4990 candles)
EUR/GBP / 4h / FVG_REVERSION: done (25.8s, 4997 candles)
EUR/GBP / 1day / FVG_REVERSION: done (25.6s, 5000 candles)
EUR/JPY / 1h / FVG_REVERSION: done (25.6s, 4990 candles)
EUR/JPY / 4h / FVG_REVERSION: done (26.1s, 4997 candles)
EUR/JPY / 1day / FVG_REVERSION: done (25.9s, 5000 candles)
GBP/JPY / 1h / FVG_REVERSION: done (25.7s, 4990 candles)
GBP/JPY / 4h / FVG_REVERSION: done (25.0s, 4997 candles)
GBP/JPY / 1day / FVG_REVERSION: done (26.6s, 5000 candles)
AUD/USD / 1h / FVG_REVERSION: done (25.9s, 4990 candles)
AUD/USD / 4h / FVG_REVERSION: done (25.9s, 4997 candles)
AUD/USD / 1day / FVG_REVERSION: done (27.1s, 5000 candles)
NZD/USD / 1h / FVG_REVERSION: done (32.7s, 4990 candles)
NZD/USD / 4h / FVG_REVERSION: done (34.8s, 4997 candles)
NZD/USD / 1day / FVG_REVERSION: done (32.0s, 5000 candles)
USD/CAD / 1h / FVG_REVERSION: done (32.1s, 4990 candles)
USD/CAD / 4h / FVG_REVERSION: done (30.8s, 4997 candles)
USD/CAD / 1day / FVG_REVERSION: done (23.6s, 5000 candles)
EUR/USD / 4h / BOS_CONTINUATION: done (26.5s, 4997 candles)
EUR/USD / 1day / BOS_CONTINUATION: done (26.8s, 5000 candles)
EUR/USD / 1week / BOS_CONTINUATION: done (9.7s, 2201 candles)
GBP/USD / 4h / BOS_CONTINUATION: done (25.7s, 4997 candles)
GBP/USD / 1day / BOS_CONTINUATION: done (24.3s, 5000 candles)
GBP/USD / 1week / BOS_CONTINUATION: done (13.9s, 2898 candles)
USD/JPY / 4h / BOS_CONTINUATION: done (29.5s, 4997 candles)
USD/JPY / 1day / BOS_CONTINUATION: done (28.1s, 5000 candles)
USD/JPY / 1week / BOS_CONTINUATION: done (16.0s, 2897 candles)
USD/CHF / 4h / BOS_CONTINUATION: done (26.8s, 4997 candles)
USD/CHF / 1day / BOS_CONTINUATION: done (26.9s, 5000 candles)
USD/CHF / 1week / BOS_CONTINUATION: done (14.2s, 2898 candles)
EUR/GBP / 4h / BOS_CONTINUATION: done (25.8s, 4997 candles)
EUR/GBP / 1day / BOS_CONTINUATION: done (25.5s, 5000 candles)
EUR/GBP / 1week / BOS_CONTINUATION: done (8.8s, 2099 candles)
EUR/JPY / 4h / BOS_CONTINUATION: done (25.6s, 4997 candles)
EUR/JPY / 1day / BOS_CONTINUATION: done (26.7s, 5000 candles)
EUR/JPY / 1week / BOS_CONTINUATION: done (13.3s, 2691 candles)
GBP/JPY / 4h / BOS_CONTINUATION: done (25.2s, 4997 candles)
GBP/JPY / 1day / BOS_CONTINUATION: done (24.4s, 5000 candles)
GBP/JPY / 1week / BOS_CONTINUATION: done (8086.2s, 2897 candles)
AUD/USD / 4h / BOS_CONTINUATION: done (27.4s, 4997 candles)
AUD/USD / 1day / BOS_CONTINUATION: done (19.4s, 5000 candles)
AUD/USD / 1week / BOS_CONTINUATION: done (10.0s, 2898 candles)
NZD/USD / 4h / BOS_CONTINUATION: done (16.3s, 4997 candles)
NZD/USD / 1day / BOS_CONTINUATION: done (16.1s, 5000 candles)
NZD/USD / 1week / BOS_CONTINUATION: done (8.2s, 2897 candles)
USD/CAD / 4h / BOS_CONTINUATION: done (16.6s, 4997 candles)
USD/CAD / 1day / BOS_CONTINUATION: done (16.5s, 5000 candles)
USD/CAD / 1week / BOS_CONTINUATION: done (7.9s, 2325 candles)
USDJPY-USDCHF / 1day / COINTEGRATION_PAIRS: done (33.7s, 4993 aligned candles)
USDJPY-USDCHF / 1week / COINTEGRATION_PAIRS: done (12.3s, 2899 aligned candles)
EURGBP-EURJPY / 1day / COINTEGRATION_PAIRS: done (20.9s, 5000 aligned candles)
EURGBP-EURJPY / 1week / COINTEGRATION_PAIRS: done (6.3s, 2099 aligned candles)
AUDUSD-NZDUSD / 1day / COINTEGRATION_PAIRS: done (19.6s, 5000 aligned candles)
AUDUSD-NZDUSD / 1week / COINTEGRATION_PAIRS: done (7.9s, 2898 aligned candles)
Dollar proxy: CACHED: dollar proxy (source recorded at fetch time; see data/macro_cache/dollar_proxy.csv) (4875 business days)
DFII10: CACHED: FRED DFII10 (source recorded at fetch time; see data/macro_cache/dfii10.csv) (5887 business days)
EUR/USD / 1day / MACRO_RISK_ON: done (17.3s, 5000 candles)
USD/JPY / 1day / MACRO_RISK_ON: done (18.3s, 5000 candles)

=== Task B2: Forex 9-Strategy Sweep ===

EUR/USD / 1h / MEAN_REVERSION v1: DIED — TRAIN N=21 ExpR=-1.504 | TEST N=12* ExpR=-1.613 (4990 candles)
EUR/USD / 4h / MEAN_REVERSION v1: DIED — TRAIN N=28 ExpR=-0.292 | TEST N=12* ExpR=-0.509 (4997 candles)
EUR/USD / 1day / MEAN_REVERSION v1: DIED — TRAIN N=11* ExpR=-0.137 | TEST N=9* ExpR=-0.002 (5000 candles)
EUR/USD / 1week / MEAN_REVERSION v1: DIED — TRAIN N=18* ExpR=-0.030 | TEST N=1* ExpR=-1.047 (2201 candles)
GBP/USD / 1h / MEAN_REVERSION v1: DIED — TRAIN N=20 ExpR=-2.180 | TEST N=10* ExpR=-2.732 (4990 candles)
